epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9001,0.69775,4.74897,0.98858,0.02311,0.40319,0.064,0.06046,0.36085,3.8724,0.82027,2.72097e-05,2.72097e-05,2.72097e-05
2,164.981,0.51215,3.93205,0.93289,0.56644,0.29215,0.29956,0.28368,0.36428,2.64319,0.86827,5.4003e-05,5.4003e-05,5.4003e-05
3,239.504,0.51402,2.7303,0.96796,0.65056,0.59913,0.64338,0.61144,0.35598,1.40907,0.89301,8.02552e-05,8.02552e-05,8.02552e-05
4,314.765,0.4677,1.91045,0.95144,0.7544,0.78692,0.82687,0.79266,0.33189,0.95805,0.87589,7.95646e-05,7.95646e-05,7.95646e-05
5,390.15,0.42467,1.44105,0.93063,0.86944,0.84619,0.89741,0.86148,0.31388,0.68948,0.85213,7.87528e-05,7.87528e-05,7.87528e-05
6,465.628,0.40064,1.19151,0.90757,0.88571,0.93016,0.92942,0.8944,0.30926,0.58502,0.84077,7.7941e-05,7.7941e-05,7.7941e-05
7,541.565,0.38371,1.03053,0.89424,0.92618,0.92798,0.94871,0.92369,0.28079,0.48316,0.8295,7.71292e-05,7.71292e-05,7.71292e-05
8,617.296,0.36621,0.92274,0.88897,0.91945,0.93684,0.95073,0.92356,0.27897,0.44059,0.82543,7.63174e-05,7.63174e-05,7.63174e-05
9,692.572,0.35537,0.83905,0.8794,0.92606,0.95254,0.96384,0.94102,0.27422,0.40097,0.82279,7.55056e-05,7.55056e-05,7.55056e-05
10,766.8,0.34927,0.77849,0.87805,0.92005,0.96867,0.96891,0.94329,0.27041,0.38721,0.81678,7.46938e-05,7.46938e-05,7.46938e-05
11,841.141,0.34394,0.72559,0.87286,0.93861,0.9584,0.97,0.9468,0.27263,0.36883,0.81778,7.3882e-05,7.3882e-05,7.3882e-05
12,916.787,0.33874,0.69624,0.86826,0.94595,0.97294,0.97357,0.9498,0.26913,0.34363,0.81564,7.30702e-05,7.30702e-05,7.30702e-05
13,991.006,0.33017,0.66175,0.86654,0.96354,0.97618,0.98002,0.96249,0.25227,0.32772,0.81023,7.22584e-05,7.22584e-05,7.22584e-05
14,1066.61,0.32757,0.63635,0.86664,0.96623,0.97745,0.98125,0.96183,0.25365,0.31554,0.80836,7.14466e-05,7.14466e-05,7.14466e-05
15,1142.18,0.32145,0.61837,0.86185,0.96706,0.97803,0.98231,0.9607,0.25904,0.31263,0.81094,7.06348e-05,7.06348e-05,7.06348e-05
16,1218,0.31834,0.59377,0.8612,0.97445,0.97747,0.98316,0.96544,0.24868,0.29659,0.80628,6.9823e-05,6.9823e-05,6.9823e-05
17,1293.31,0.31806,0.58905,0.86093,0.96666,0.97928,0.98282,0.96406,0.25212,0.2937,0.80505,6.90112e-05,6.90112e-05,6.90112e-05
18,1368.69,0.31289,0.57005,0.85625,0.9778,0.97877,0.9841,0.96772,0.24214,0.27532,0.80301,6.81994e-05,6.81994e-05,6.81994e-05
19,1444.45,0.30862,0.55017,0.85567,0.97351,0.97973,0.98413,0.96731,0.24417,0.2684,0.80225,6.73876e-05,6.73876e-05,6.73876e-05
20,1519.95,0.30801,0.53867,0.85464,0.9747,0.97917,0.98345,0.96648,0.23638,0.26387,0.80032,6.65758e-05,6.65758e-05,6.65758e-05
21,1595.46,0.30591,0.53177,0.85607,0.96956,0.97893,0.98371,0.96933,0.24063,0.26679,0.80139,6.5764e-05,6.5764e-05,6.5764e-05
22,1671.23,0.3009,0.51651,0.85506,0.96228,0.98861,0.98274,0.96438,0.25219,0.26388,0.8038,6.49522e-05,6.49522e-05,6.49522e-05
23,1746.78,0.30075,0.51593,0.85434,0.95889,0.98484,0.98301,0.96774,0.2369,0.25645,0.80039,6.41404e-05,6.41404e-05,6.41404e-05
24,1821.67,0.29631,0.49692,0.85489,0.95819,0.98743,0.98298,0.96879,0.24371,0.25787,0.80081,6.33286e-05,6.33286e-05,6.33286e-05
25,1896.49,0.2941,0.49243,0.85053,0.97565,0.99103,0.98364,0.96702,0.2424,0.25108,0.80163,6.25168e-05,6.25168e-05,6.25168e-05
26,1971.39,0.2978,0.48848,0.8524,0.97121,0.98999,0.9822,0.96361,0.24825,0.24742,0.80229,6.1705e-05,6.1705e-05,6.1705e-05
27,2047.26,0.28934,0.47737,0.85044,0.97522,0.98567,0.98251,0.96767,0.23358,0.24096,0.79864,6.08932e-05,6.08932e-05,6.08932e-05
28,2122.79,0.29198,0.47603,0.85281,0.96956,0.98427,0.98313,0.96831,0.23584,0.24459,0.79931,6.00814e-05,6.00814e-05,6.00814e-05
29,2197.39,0.28936,0.46348,0.84945,0.9762,0.98959,0.98333,0.96968,0.22708,0.23558,0.79691,5.92696e-05,5.92696e-05,5.92696e-05
30,2272.96,0.28665,0.46389,0.84821,0.97725,0.98996,0.9837,0.96879,0.22583,0.23328,0.79635,5.84578e-05,5.84578e-05,5.84578e-05
31,2348.55,0.28398,0.45839,0.84627,0.97592,0.99096,0.98296,0.97021,0.22308,0.23003,0.79605,5.7646e-05,5.7646e-05,5.7646e-05
32,2424.03,0.28511,0.44038,0.84687,0.97915,0.99035,0.98297,0.96898,0.22194,0.22483,0.7951,5.68342e-05,5.68342e-05,5.68342e-05
33,2498.31,0.28289,0.43939,0.84882,0.97648,0.99134,0.98233,0.96909,0.22545,0.22856,0.79698,5.60224e-05,5.60224e-05,5.60224e-05
34,2574.04,0.28035,0.43513,0.84525,0.97584,0.98933,0.98381,0.96992,0.22423,0.22934,0.79665,5.52106e-05,5.52106e-05,5.52106e-05
35,2649.06,0.2811,0.43073,0.84775,0.97894,0.99039,0.98452,0.97214,0.22397,0.22353,0.79619,5.43988e-05,5.43988e-05,5.43988e-05
36,2724.78,0.27942,0.42933,0.84552,0.97825,0.99058,0.98435,0.97144,0.22329,0.22243,0.79576,5.3587e-05,5.3587e-05,5.3587e-05
37,2799.24,0.27553,0.42531,0.84388,0.9781,0.99128,0.98329,0.96978,0.2268,0.22247,0.79688,5.27752e-05,5.27752e-05,5.27752e-05
38,2874.76,0.27577,0.41227,0.84539,0.9763,0.99003,0.9842,0.9704,0.22465,0.22187,0.79592,5.19634e-05,5.19634e-05,5.19634e-05
39,2950.72,0.27453,0.41289,0.84657,0.97571,0.99112,0.98405,0.97146,0.22395,0.21848,0.79719,5.11516e-05,5.11516e-05,5.11516e-05
40,3025.74,0.27094,0.40175,0.84251,0.97852,0.99198,0.98377,0.97107,0.22354,0.21518,0.79613,5.03398e-05,5.03398e-05,5.03398e-05
41,3100.05,0.27001,0.40355,0.84119,0.97823,0.98983,0.98416,0.97126,0.22039,0.21396,0.79588,4.9528e-05,4.9528e-05,4.9528e-05
42,3175.85,0.27078,0.39411,0.84307,0.97936,0.99152,0.98366,0.96962,0.22028,0.20945,0.795,4.87162e-05,4.87162e-05,4.87162e-05
43,3251.84,0.27033,0.39314,0.84421,0.97581,0.99107,0.98334,0.96993,0.22174,0.21327,0.79554,4.79044e-05,4.79044e-05,4.79044e-05
44,3327.68,0.26806,0.39307,0.84418,0.97696,0.98978,0.98464,0.97344,0.21424,0.20972,0.79409,4.70926e-05,4.70926e-05,4.70926e-05
45,3401.96,0.26954,0.39398,0.84379,0.97761,0.98862,0.98417,0.97231,0.21377,0.20837,0.79341,4.62808e-05,4.62808e-05,4.62808e-05
46,3477.93,0.26869,0.39137,0.84323,0.97661,0.99173,0.9835,0.9704,0.21749,0.2054,0.7947,4.5469e-05,4.5469e-05,4.5469e-05
47,3552.29,0.2677,0.3864,0.84344,0.97796,0.9904,0.98398,0.97166,0.21437,0.20755,0.7932,4.46572e-05,4.46572e-05,4.46572e-05
48,3627.98,0.26475,0.37872,0.84238,0.9772,0.99135,0.98288,0.97019,0.21861,0.206,0.79418,4.38454e-05,4.38454e-05,4.38454e-05
49,3703.6,0.26222,0.37344,0.8394,0.9755,0.99163,0.98356,0.97117,0.2187,0.20816,0.79452,4.30336e-05,4.30336e-05,4.30336e-05
50,3779.4,0.26793,0.38173,0.84258,0.97922,0.99185,0.98355,0.97058,0.21869,0.20408,0.79401,4.22218e-05,4.22218e-05,4.22218e-05
51,3854.61,0.26539,0.37607,0.84362,0.97659,0.98879,0.98349,0.97199,0.21346,0.20412,0.79353,4.141e-05,4.141e-05,4.141e-05
52,3928.87,0.26129,0.37181,0.83961,0.97627,0.99069,0.98283,0.97069,0.21571,0.20025,0.7932,4.05982e-05,4.05982e-05,4.05982e-05
53,4004.71,0.25997,0.36135,0.84013,0.97885,0.99198,0.98394,0.97324,0.20999,0.19831,0.79172,3.97864e-05,3.97864e-05,3.97864e-05
54,4080.52,0.26025,0.36804,0.84163,0.97383,0.98904,0.98299,0.97282,0.20754,0.19767,0.79214,3.89746e-05,3.89746e-05,3.89746e-05
55,4156.42,0.25766,0.35729,0.83955,0.9777,0.99155,0.98361,0.97309,0.21192,0.19753,0.79281,3.81628e-05,3.81628e-05,3.81628e-05
56,4230.73,0.25708,0.35603,0.83933,0.97469,0.98886,0.98417,0.97382,0.21415,0.19888,0.79315,3.7351e-05,3.7351e-05,3.7351e-05
57,4306.58,0.25867,0.3611,0.84123,0.97793,0.99148,0.9851,0.97431,0.21143,0.19741,0.79267,3.65392e-05,3.65392e-05,3.65392e-05
58,4381.52,0.25487,0.35402,0.83824,0.97825,0.99154,0.98405,0.97395,0.20671,0.19232,0.79134,3.57274e-05,3.57274e-05,3.57274e-05
59,4456.56,0.25395,0.35595,0.83839,0.97922,0.99154,0.98386,0.97242,0.21189,0.1953,0.79262,3.49156e-05,3.49156e-05,3.49156e-05
60,4532.52,0.25504,0.34853,0.83914,0.97886,0.99198,0.98358,0.97226,0.20723,0.19229,0.79161,3.41038e-05,3.41038e-05,3.41038e-05
61,4608.1,0.25394,0.34918,0.83772,0.97773,0.99042,0.98406,0.97376,0.20799,0.19391,0.79157,3.3292e-05,3.3292e-05,3.3292e-05
62,4684.14,0.2538,0.34903,0.83968,0.97744,0.98964,0.98428,0.97356,0.21048,0.19556,0.79268,3.24802e-05,3.24802e-05,3.24802e-05
63,4758.81,0.25163,0.34348,0.83686,0.97952,0.99103,0.98495,0.97421,0.20634,0.19256,0.79146,3.16684e-05,3.16684e-05,3.16684e-05
64,4834.71,0.25374,0.34232,0.8407,0.97755,0.99032,0.98409,0.97392,0.20369,0.18961,0.79094,3.08566e-05,3.08566e-05,3.08566e-05
65,4910.35,0.25116,0.33938,0.83734,0.97809,0.99198,0.98372,0.97249,0.20886,0.19327,0.79222,3.00448e-05,3.00448e-05,3.00448e-05
66,4985.56,0.25195,0.34019,0.83791,0.97757,0.9914,0.98499,0.97503,0.20578,0.19196,0.79141,2.9233e-05,2.9233e-05,2.9233e-05
67,5061.75,0.25156,0.33696,0.83862,0.97838,0.99132,0.98413,0.97282,0.20828,0.19241,0.79221,2.84212e-05,2.84212e-05,2.84212e-05
68,5137.66,0.2486,0.33603,0.83722,0.97779,0.99078,0.98453,0.97409,0.20671,0.19031,0.7918,2.76094e-05,2.76094e-05,2.76094e-05
69,5213.52,0.24621,0.33144,0.83607,0.97781,0.98987,0.98475,0.97474,0.20547,0.1895,0.79158,2.67976e-05,2.67976e-05,2.67976e-05
70,5288.7,0.24833,0.33022,0.83758,0.9795,0.99184,0.98504,0.97491,0.20813,0.18977,0.79257,2.59858e-05,2.59858e-05,2.59858e-05
71,5363.91,0.24562,0.32461,0.83501,0.97982,0.99091,0.98509,0.97586,0.20351,0.18798,0.79095,2.5174e-05,2.5174e-05,2.5174e-05
72,5439.83,0.24832,0.33032,0.83643,0.97854,0.99039,0.98443,0.97487,0.20244,0.18863,0.79093,2.43622e-05,2.43622e-05,2.43622e-05
73,5515.46,0.2479,0.32653,0.83704,0.97726,0.98794,0.98474,0.97531,0.20326,0.18821,0.79135,2.35504e-05,2.35504e-05,2.35504e-05
74,5591.32,0.24917,0.32908,0.83956,0.97807,0.9908,0.98453,0.97422,0.20204,0.18562,0.79142,2.27386e-05,2.27386e-05,2.27386e-05
75,5666.65,0.2462,0.32402,0.83597,0.97651,0.99197,0.98442,0.97464,0.20164,0.18592,0.79061,2.19268e-05,2.19268e-05,2.19268e-05
76,5742.55,0.24255,0.31894,0.83342,0.97596,0.98941,0.98447,0.9746,0.20281,0.18617,0.79119,2.1115e-05,2.1115e-05,2.1115e-05
77,5817.84,0.24376,0.31999,0.8341,0.9795,0.99066,0.98405,0.97364,0.2015,0.18399,0.79087,2.03032e-05,2.03032e-05,2.03032e-05
78,5893.15,0.24439,0.32081,0.83649,0.9793,0.99092,0.9841,0.97409,0.20283,0.18513,0.79129,1.94914e-05,1.94914e-05,1.94914e-05
79,5968.44,0.24367,0.31748,0.83624,0.97863,0.9901,0.98435,0.9744,0.2003,0.18336,0.79054,1.86796e-05,1.86796e-05,1.86796e-05
80,6044.18,0.24076,0.31687,0.83322,0.97864,0.99061,0.98544,0.97548,0.20121,0.18394,0.79018,1.78678e-05,1.78678e-05,1.78678e-05
81,6119.79,0.24225,0.31561,0.83428,0.97869,0.99131,0.98444,0.9751,0.2014,0.18467,0.79058,1.7056e-05,1.7056e-05,1.7056e-05
82,6196.05,0.24533,0.31796,0.83789,0.97728,0.99078,0.98458,0.97523,0.20009,0.18499,0.79068,1.62442e-05,1.62442e-05,1.62442e-05
83,6271.5,0.23887,0.31367,0.83461,0.97825,0.99075,0.98484,0.97542,0.19999,0.18459,0.79058,1.54324e-05,1.54324e-05,1.54324e-05
