category_id,category_name,files
16547,가바토파정 100mg,924
16550,동아가바펜틴정 800mg,915
16231,리피토정 20mg,807
3613,동아오팔몬정(리마프로스트알파-시클로덱스트린포접화합물),642
11219,아스피린프로텍트정 100mg,642
15709,엔테론정 150mg,639
16234,카듀엣정 5mg/20mg,579
20237,플라빅스정 75mg,576
16261,크레스토정 20mg,570
29666,리바로정 4mg,561
36636,로수젯정10/5밀리그램,558
35205,아토젯정 10/40mg,546
249,마그밀정(수산화마그네슘),540
10486,동화덴스톨캡슐 150mg/PTP,540
13003,이가탄에프캡슐 150mg/PTP,540
6834,이튼큐정 35mg/PTP,539
1865,알마겔정(알마게이트)(수출명:유한가스트라겔정),537
12637,투스딘골드캡슐 150mg/PTP,537
3742,알드린정,465
572,게보린정 300mg/PTP,450
5001,엘도스캡슐(에르도스테인)(수출용),450
6191,삐콤씨에프정 618.6mg/병,450
6696,씨즈날정(세티리진염산염),450
20876,엑스포지정 5/160mg,450
22346,자누비아정 50mg,450
25199,마이칼디정,450
26992,원더칼-디츄어블정,450
27652,세비카정 10/40mg,450
29710,디카테오정,450
130376,디카테오엘씨정 10mg/병,450
12777,다보타민큐정 10mg/병,447
25366,자누메트정 50/850mg,447
23318,디카맥스디플러스정,441
25468,아모잘탄정 5/100mg,441
19551,트루비타정 60mg/병,438
22626,메가파워정 90mg/병,438
23222,비타비백정 100mg/병,438
28762,트라젠타정(리나글립틴),435
19860,노바스크정 5mg,429
30307,트라젠타듀오정 2.5/850mg,429
34596,제미메트서방정 50/1000mg,429
27732,트윈스타정 40/5mg,426
31884,자누메트엑스알서방정 100/1000mg,423
27776,카나브정 60mg,413
4377,타이레놀정500mg,405
13160,엘스테인캡슐(에르도스테인),390
37776,알바스테인캡슐(에르도스테인),384
38953,뮤코원캡슐(에르도스테인),381
44833,엘스테인정(에르도스테인),381
20003,라시도필캡슐(비매품),375
25437,큐시드정 31.5mg/PTP,375
30849,비오플250캡슐 282.5mg,375
38926,락토엔큐캡슐(바실루스리케니포르미스균) ,375
43232,바이오탑디캡슐 50mg/병,375
44265,바이오탑하이캡슐 150mg/병,375
10223,넥시움정 40mg,372
12419,자이프렉사정 2.5mg,372
41148,람노스캡슐500mg/병,372
12246,아빌리파이정 10mg,363
24940,액티프롤정 60mg/PTP,360
26454,클라리틴정(로라타딘),360
38971,알러비정(세티리진염산염),360
19880,지르텍정(세티리진염산염),358
35658,제라타딘정(로라타딘),357
12080,리렉스펜정 300mg/PTP,351
5885,타이레놀이알서방정(아세트아미노펜)(수출용),345
6562,조인스정 200mg,342
13394,써스펜8시간이알서방정 650mg,342
4542,에어탈정(아세클로페낙),336
10220,쎄로켈정 100mg,330
22361,맥시부펜이알정 300mg,318
4999,비유피-4정 20mg,297
5390,프로스카정,297
5093,삼남건조수산화알루미늄겔정,294
16205,아보다트연질캡슐 0.5mg,294
15279,한미탐스캡슐 0.2mg,288
3831,뉴로메드정(옥시라세탐),267
13899,에빅사정(메만틴염산염)(비매품),264
3543,무코스타정(레바미피드)(비매품),258
2482,뮤테란캡슐 100mg,225
18109,란스톤엘에프디티정 30mg,204
21770,라비에트정 20mg,204
19606,스토가정 10mg,201
24849,놀텍정 10mg,201
33207,에스원엠프정 20mg,201
44198,케이캡정 50mg,201
21025,펠루비정(펠루비프로펜),195
27925,울트라셋이알서방정,195
31704,낙소졸정 500/20mg,195
33008,신바로정,195
29344,비모보정 500/20mg,192
29450,레일라정,192
27992,졸로푸트정 100mg,156
29870,렉사프로정 15mg,156
33877,브린텔릭스정 20mg,156
1899,보령부스파정 5mg,155
23202,쿠에타핀정 25mg,153
21324,아토르바정 10mg,150
38161,로수바미브정 10/20mg,150
22073,리피로우정 20mg,144
16687,오마코연질캡슐(오메가-3-산에틸에스테르90),138
18356,종근당글리아티린연질캡슐(콜린알포세레이트) ,135
19231,콜리네이트연질캡슐 400mg,135
20013,마도파정,135
33879,글리틴정(콜린알포세레이트),135
41767,카발린캡슐 25mg,135
18146,리리카캡슐 150mg,129
31862,아질렉트정(라사길린메실산염),129
32309,글리아타민연질캡슐,129
38722,엔트레스토필름코팅정 200mg,108
20752,인사돌플러스정 35mg/PTP,90
20258,자트랄엑스엘정 10mg,84
24751,토비애즈서방정 4mg,84
28423,플리바스정 50mg,84
33025,트루패스정 4mg,84
20851,베시케어정 10mg,81
