category_name,total_json_cnt,json_with_image_cnt,has_any_image_match
게보린정 300mg/PTP,450,0,False
동아오팔몬정(리마프로스트알파-시클로덱스트린포접화합물),642,0,False
동화덴스톨캡슐 150mg/PTP,540,0,False
디카맥스디플러스정,282,0,False
디카테오엘씨정 10mg/병,282,0,False
디카테오정,288,0,False
라시도필캡슐(비매품),240,0,False
락토엔큐캡슐(바실루스리케니포르미스균) ,240,0,False
람노스캡슐500mg/병,240,0,False
마그밀정(수산화마그네슘),540,0,False
마이칼디정,288,0,False
뮤코원캡슐(에르도스테인),366,0,False
바이오탑디캡슐 50mg/병,237,0,False
바이오탑하이캡슐 150mg/병,237,0,False
베시케어정 10mg,54,0,False
비오플250캡슐 282.5mg,240,0,False
비유피-4정 20mg,297,0,False
씨즈날정(세티리진염산염),450,0,False
아보다트연질캡슐 0.5mg,264,0,False
아스피린프로텍트정 100mg,642,0,False
알러비정(세티리진염산염),180,0,False
알마겔정(알마게이트)(수출명:유한가스트라겔정),537,0,False
알바스테인캡슐(에르도스테인),369,0,False
액티프롤정 60mg/PTP,180,0,False
엔테론정 150mg,456,0,False
엔트레스토필름코팅정 200mg,108,0,False
엘도스캡슐(에르도스테인)(수출용),450,0,False
엘스테인정(에르도스테인),366,0,False
엘스테인캡슐(에르도스테인),366,0,False
원더칼-디츄어블정,288,0,False
이가탄에프캡슐 150mg/PTP,90,0,False
이튼큐정 35mg/PTP,539,0,False
인사돌플러스정 35mg/PTP,90,0,False
자트랄엑스엘정 10mg,54,0,False
제라타딘정(로라타딘),180,0,False
지르텍정(세티리진염산염),262,0,False
카듀엣정 5mg/20mg,579,0,False
클라리틴정(로라타딘),180,0,False
토비애즈서방정 4mg,54,0,False
투스딘골드캡슐 150mg/PTP,174,0,False
트루패스정 4mg,54,0,False
프로스카정,297,0,False
플리바스정 50mg,54,0,False
한미탐스캡슐 0.2mg,30,0,False
